curbweight,carlength,carwidth,enginesize,highwaympg,drivewheel,carbody
2548,168.8,64.1,130,27,rwd,convertible
2548,168.8,64.1,130,27,rwd,convertible
2823,171.2,65.5,152,26,rwd,hatchback
2337,176.6,66.2,109,30,fwd,sedan
2824,176.6,66.4,136,22,4wd,sedan
2507,177.3,66.3,136,25,fwd,sedan
2844,192.7,71.4,136,25,fwd,sedan
2954,192.7,71.4,136,25,fwd,wagon
3086,192.7,71.4,131,20,fwd,sedan
3053,178.2,67.9,131,22,4wd,hatchback
2395,176.8,64.8,108,29,rwd,sedan
2395,176.8,64.8,108,29,rwd,sedan
2710,176.8,64.8,164,28,rwd,sedan
2765,176.8,64.8,164,28,rwd,sedan
3055,189.0,66.9,164,25,rwd,sedan
3230,189.0,66.9,209,22,rwd,sedan
3380,193.8,67.9,209,22,rwd,sedan
3505,197.0,70.9,209,20,rwd,sedan
1488,141.1,60.3,61,53,fwd,hatchback
1874,155.9,63.6,90,43,fwd,hatchback
1909,158.8,63.6,90,43,fwd,sedan
1876,157.3,63.8,90,41,fwd,hatchback
1876,157.3,63.8,90,38,fwd,hatchback
2128,157.3,63.8,98,30,fwd,hatchback
1967,157.3,63.8,90,38,fwd,hatchback
1989,157.3,63.8,90,38,fwd,sedan
1989,157.3,63.8,90,38,fwd,sedan
2191,157.3,63.8,98,30,fwd,sedan
2535,174.6,64.6,122,30,fwd,wagon
2811,173.2,66.3,156,24,fwd,hatchback
1713,144.6,63.9,92,54,fwd,hatchback
1819,144.6,63.9,92,38,fwd,hatchback
1837,150.0,64.0,79,42,fwd,hatchback
1940,150.0,64.0,92,34,fwd,hatchback
1956,150.0,64.0,92,34,fwd,hatchback
2010,163.4,64.0,92,34,fwd,sedan
2024,157.1,63.9,92,34,fwd,wagon
2236,167.5,65.2,110,33,fwd,hatchback
2289,167.5,65.2,110,33,fwd,hatchback
2304,175.4,65.2,110,33,fwd,sedan
2372,175.4,62.5,110,33,fwd,sedan
2465,175.4,65.2,110,28,fwd,sedan
2293,169.1,66.0,110,31,fwd,sedan
2337,170.7,61.8,111,29,rwd,sedan
1874,155.9,63.6,90,43,fwd,sedan
1909,155.9,63.6,90,43,fwd,sedan
2734,172.6,65.2,119,29,rwd,hatchback
4066,199.6,69.6,258,19,rwd,sedan
4066,199.6,69.6,258,19,rwd,sedan
3950,191.7,70.6,326,17,rwd,sedan
1890,159.1,64.2,91,31,fwd,hatchback
1900,159.1,64.2,91,38,fwd,hatchback
1905,159.1,64.2,91,38,fwd,hatchback
1945,166.8,64.2,91,38,fwd,sedan
1950,166.8,64.2,91,38,fwd,sedan
2380,169.0,65.7,70,23,rwd,hatchback
2380,169.0,65.7,70,23,rwd,hatchback
2385,169.0,65.7,70,23,rwd,hatchback
2500,169.0,65.7,80,23,rwd,hatchback
2385,177.8,66.5,122,32,fwd,hatchback
2410,177.8,66.5,122,32,fwd,sedan
2385,177.8,66.5,122,32,fwd,hatchback
2410,177.8,66.5,122,32,fwd,sedan
2443,177.8,66.5,122,42,fwd,sedan
2425,177.8,66.5,122,32,fwd,hatchback
2670,175.0,66.1,140,27,rwd,sedan
2700,175.0,66.1,134,39,rwd,sedan
3515,190.9,70.3,183,25,rwd,sedan
3750,190.9,70.3,183,25,rwd,wagon
3495,187.5,70.3,183,25,rwd,hardtop
3770,202.6,71.7,183,25,rwd,sedan
3740,202.6,71.7,234,18,rwd,sedan
3685,180.3,70.5,234,18,rwd,convertible
3900,208.1,71.7,308,16,rwd,sedan
3715,199.2,72.0,304,16,rwd,hardtop
2910,178.4,68.0,140,24,rwd,hatchback
1918,157.3,64.4,92,41,fwd,hatchback
1944,157.3,64.4,92,38,fwd,hatchback
2004,157.3,64.4,92,38,fwd,hatchback
2145,157.3,63.8,98,30,fwd,hatchback
2370,173.0,65.4,110,30,fwd,hatchback
2328,173.0,65.4,122,32,fwd,hatchback
2833,173.2,66.3,156,24,fwd,hatchback
2921,173.2,66.3,156,24,fwd,hatchback
2926,173.2,66.3,156,24,fwd,hatchback
2365,172.4,65.4,122,32,fwd,sedan
2405,172.4,65.4,122,32,fwd,sedan
2403,172.4,65.4,110,30,fwd,sedan
2403,172.4,65.4,110,30,fwd,sedan
1889,165.3,63.8,97,37,fwd,sedan
2017,165.3,63.8,103,50,fwd,sedan
1918,165.3,63.8,97,37,fwd,sedan
1938,165.3,63.8,97,37,fwd,sedan
2024,170.2,63.8,97,37,fwd,wagon
1951,165.3,63.8,97,37,fwd,sedan
2028,165.6,63.8,97,37,fwd,hatchback
1971,165.3,63.8,97,37,fwd,sedan
2037,170.2,63.8,97,37,fwd,wagon
2008,162.4,63.8,97,37,fwd,hardtop
2324,173.4,65.2,120,34,fwd,hatchback
2302,173.4,65.2,120,34,fwd,sedan
3095,181.7,66.5,181,22,fwd,sedan
3296,184.6,66.5,181,22,fwd,wagon
3060,184.6,66.5,181,25,fwd,sedan
3071,170.7,67.9,181,25,rwd,hatchback
3139,170.7,67.9,181,23,rwd,hatchback
3139,178.5,67.9,181,25,rwd,hatchback
3020,186.7,68.4,120,24,rwd,sedan
3197,186.7,68.4,152,33,rwd,sedan
3230,198.9,68.4,120,24,rwd,wagon
3430,198.9,68.4,152,25,rwd,wagon
3075,186.7,68.4,120,24,rwd,sedan
3252,186.7,68.4,152,33,rwd,sedan
3285,198.9,68.4,120,24,rwd,wagon
3485,198.9,68.4,152,25,rwd,wagon
3075,186.7,68.4,120,24,rwd,sedan
3252,186.7,68.4,152,33,rwd,sedan
3130,186.7,68.3,134,24,rwd,sedan
1918,157.3,63.8,90,41,fwd,hatchback
2128,157.3,63.8,98,30,fwd,hatchback
1967,157.3,63.8,90,38,fwd,hatchback
1989,167.3,63.8,90,38,fwd,sedan
2191,167.3,63.8,98,38,fwd,sedan
2535,174.6,64.6,122,30,fwd,wagon
2818,173.2,66.3,156,24,rwd,hatchback
2778,168.9,68.3,151,27,rwd,hatchback
2756,168.9,65.0,194,25,rwd,hardtop
2756,168.9,65.0,194,25,rwd,hardtop
2800,168.9,65.0,194,25,rwd,convertible
3366,175.7,72.3,203,28,rwd,hatchback
2579,181.5,66.5,132,31,fwd,wagon
2460,176.8,66.6,132,31,fwd,hatchback
2658,186.6,66.5,121,28,fwd,hatchback
2695,186.6,66.5,121,28,fwd,sedan
2707,186.6,66.5,121,28,fwd,hatchback
2758,186.6,66.5,121,28,fwd,sedan
2808,186.6,66.5,121,26,fwd,hatchback
2847,186.6,66.5,121,26,fwd,sedan
2050,156.9,63.4,97,36,fwd,hatchback
2120,157.9,63.6,108,31,fwd,hatchback
2240,157.3,63.8,108,31,4wd,hatchback
2145,172.0,65.4,108,37,fwd,sedan
2190,172.0,65.4,108,33,fwd,sedan
2340,172.0,65.4,108,32,fwd,sedan
2385,172.0,65.4,108,25,4wd,sedan
2510,172.0,65.4,108,29,4wd,sedan
2290,173.5,65.4,108,32,fwd,wagon
2455,173.5,65.4,108,31,fwd,wagon
2420,173.6,65.4,108,29,4wd,wagon
2650,173.6,65.4,108,23,4wd,wagon
1985,158.7,63.6,92,39,fwd,hatchback
2040,158.7,63.6,92,38,fwd,hatchback
2015,158.7,63.6,92,38,fwd,hatchback
2280,169.7,63.6,92,37,fwd,wagon
2290,169.7,63.6,92,32,4wd,wagon
3110,169.7,63.6,92,32,4wd,wagon
2081,166.3,64.4,98,37,fwd,sedan
2109,166.3,64.4,98,37,fwd,hatchback
2275,166.3,64.4,110,36,fwd,sedan
2275,166.3,64.4,110,47,fwd,hatchback
2094,166.3,64.4,98,47,fwd,sedan
2122,166.3,64.4,98,34,fwd,hatchback
2140,166.3,64.4,98,34,fwd,sedan
2169,168.7,64.0,98,34,rwd,sedan
2204,168.7,64.0,98,34,rwd,hatchback
2265,168.7,64.0,98,29,rwd,sedan
2300,168.7,64.0,98,29,rwd,hatchback
2540,176.2,65.6,146,30,rwd,hardtop
2536,176.2,65.6,146,30,rwd,hardtop
2551,176.2,65.6,146,30,rwd,hatchback
2679,176.2,65.6,146,30,rwd,hardtop
2714,176.2,65.6,146,30,rwd,hatchback
2975,176.2,65.6,146,30,rwd,convertible
2326,175.6,66.5,122,34,fwd,sedan
2480,175.6,66.5,110,33,fwd,sedan
2414,175.6,66.5,122,32,fwd,hatchback
2414,175.6,66.5,122,32,fwd,sedan
2458,175.6,66.5,122,32,fwd,hatchback
2976,183.5,67.7,171,24,rwd,hatchback
3016,183.5,67.7,171,24,rwd,hatchback
3131,187.8,66.5,171,24,rwd,sedan
3151,187.8,66.5,161,24,rwd,wagon
2261,171.7,65.5,97,46,fwd,sedan
2209,171.7,65.5,109,34,fwd,sedan
2264,171.7,65.5,97,46,fwd,sedan
2212,171.7,65.5,109,34,fwd,sedan
2275,171.7,65.5,109,34,fwd,sedan
2319,171.7,65.5,97,42,fwd,sedan
2300,171.7,65.5,109,32,fwd,sedan
2254,159.3,64.2,109,29,fwd,convertible
2221,165.7,64.0,109,29,fwd,hatchback
2661,180.2,66.9,136,24,fwd,sedan
2579,180.2,66.9,97,38,fwd,sedan
2563,183.1,66.9,109,31,fwd,wagon
2912,188.8,67.2,141,28,rwd,sedan
3034,188.8,67.2,141,28,rwd,wagon
2935,188.8,67.2,141,28,rwd,sedan
3042,188.8,67.2,141,28,rwd,wagon
3045,188.8,67.2,130,22,rwd,sedan
3157,188.8,67.2,130,22,rwd,wagon
2952,188.8,68.9,141,28,rwd,sedan
3049,188.8,68.8,141,25,rwd,sedan
3012,188.8,68.9,173,23,rwd,sedan
3217,188.8,68.9,145,27,rwd,sedan
3062,188.8,68.9,141,25,rwd,sedan
